Suburb,Floor,Total_floor,Parking,num_BHK,Preference,Furnishing,Veg/Non-veg,num_amenities,age,balconies,area,Rent
Vishweshwar Nagar,24,25,2,3,Family/Bachelor,Semi Furnished,Veg/Non Veg,7,,1,,150000.0
Rahija vihar,3,7,0,1,Family,UnFurnished,Veg/Non Veg,15,,0,540.0,40000.0
Rahija vihar,5,7,1,2,Family/Bachelor,UnFurnished,Veg/Non Veg,21,10.0,0,825.0,60000.0
Ghatkopar East,12,16,1,1,Family,Semi Furnished,Veg/Non Veg,8,,0,900.0,32000.0
Lokhandwala,7,15,1,2,Family/Bachelor,Semi Furnished,Veg/Non Veg,3,,0,1100.0,70000.0
Kandivali East,7,3,0,1,Family/Bachelor,UnFurnished,Veg/Non Veg,8,,0,,22000.0
Gokuldham Colony,12,50,1,3,Family/Bachelor,Semi Furnished,Veg/Non Veg,9,,0,1233.3333333333333,120000.0
Mira road east,7,7,0,1,Family,Fully Furnished,Veg/Non Veg,10,5.0,3,583.3333333333334,20000.0
Ulwe,8,14,1,2,Family,UnFurnished,Veg/Non Veg,15,,4,1100.0,23000.0
Chandivali,7,7,0,1,Family/Bachelor,Semi Furnished,Veg/Non Veg,16,,0,450.0,36000.0
Chandivali,2,7,0,1,Family/Bachelor,Fully Furnished,Veg/Non Veg,17,,0,250.0,25000.0
Mira road east,1,1,1,5,Family,UnFurnished,Veg/Non Veg,5,,4,3500.0,95000.0
Colaba,5,5,1,2,Family/Bachelor,Semi Furnished,Veg/Non Veg,1,,0,,120000.0
MINATAI THAKARE ROAD,2,7,0,1,Family,UnFurnished,Veg/Non Veg,18,10.0,0,387.5,12000.0
Ahimsa marg,3,6,1,2,Family/Bachelor,Semi Furnished,Veg/Non Veg,17,,0,950.0,45000.0
Nerul,2,29,1,2,Family,Semi Furnished,Veg/Non Veg,25,,1,,60000.0
Chandivali,3,14,1,1,Family/Bachelor,UnFurnished,Veg/Non Veg,28,,1,,42000.0
Mira road east,5,8,1,2,Family,Fully Furnished,Veg/Non Veg,13,,3,1050.0,32000.0
Mira Bhayandar,1,1,1,1,Family,UnFurnished,Veg/Non Veg,9,,0,,11000.0
Mira road east,15,24,1,3,Family,Fully Furnished,Veg/Non Veg,17,,4,1400.0,45000.0
Evershine nagar,5,17,1,2,Family,Fully Furnished,Only Vegetarian,46,,0,850.0,63000.0
Gokuldham,9,20,2,3,Family/Bachelor,Semi Furnished,Veg/Non Veg,18,,0,1400.0,86000.0
Koliwada,4,7,0,1,Family,UnFurnished,Veg/Non Veg,7,10.0,0,466.25,20000.0
Ulwe,3,7,0,1,Family,UnFurnished,Veg/Non Veg,3,,1,553.3333333333334,12000.0
Mindspace malad west,4,7,0,1,Family,Semi Furnished,Veg/Non Veg,18,,0,526.6666666666666,36000.0
Mira road,3,7,1,2,Family,UnFurnished,Veg/Non Veg,17,,0,,24000.0
Juhu,4,7,1,2,Family/Bachelor,Fully Furnished,Veg/Non Veg,4,,0,1100.0,75000.0
Mira Road East,6,12,0,2,Family/Bachelor,Semi Furnished,Veg/Non Veg,9,5.0,4,710.0,18000.0
Chandivali,3,6,0,1,Family/Bachelor,UnFurnished,Veg/Non Veg,23,10.0,0,218.33333333333334,11000.0
Lake home,13,22,1,3,Family,UnFurnished,Veg/Non Veg,31,10.0,3,1134.0,90000.0
Ghatkopar East,2,7,0,1,Family/Bachelor,UnFurnished,Veg/Non Veg,5,,0,337.5,15000.0
