,Suburb,Floor,Total_floor,Parking,num_BHK,Furnishing,Veg/Non-veg,num_amenities,age,balconies,area,Family,Family/Bachelor
42,11.113769221964812,-0.5578366013887449,-0.5635165407291988,0.623601999534078,-0.7756743873268022,1.0,1,-1.1564870957543962,0.0,-0.8051210717778841,0.24353109614559956,0.0,1.0
43,10.812338822915162,-0.07627561692458353,-0.19481198275789005,0.623601999534078,3.2014197440578935,2.0,1,0.18699121939592186,-1.1901608012334106,-0.03808005069219719,1.8563519945674467,0.0,1.0
44,10.836219453720318,-0.236795945079304,-0.19481198275789005,0.623601999534078,1.8757217002629947,2.0,1,0.5228607981835014,0.0,-0.03808005069219719,2.0188825023295776,0.0,1.0
45,10.132481660177653,-0.5578366013887449,-0.5635165407291988,-1.01990981232209,-0.7756743873268022,2.0,1,0.6348173244460279,1.7675016777124908,-0.8051210717778841,-2.132096323240547,0.0,1.0
46,10.221977792579757,-0.236795945079304,-0.47134040123637155,-1.01990981232209,-0.7756743873268022,0.0,0,0.07503469313339535,0.0,-0.8051210717778841,0.25019664010119785,1.0,0.0
47,10.984529111597613,-0.3973162732340244,-0.5635165407291988,-1.01990981232209,-0.7756743873268022,0.0,1,-1.2684436220169228,0.0,-0.8051210717778841,-1.3860287866481789,0.0,1.0
48,10.81093326704014,2.010488649086782,0.6347732726775545,0.623601999534078,0.5500236564680963,2.0,1,-0.7086609907042902,0.0,-0.8051210717778841,0.7939202332175037,0.0,1.0
49,10.800342126936503,1.6894479927773414,0.8191255516632088,-1.01990981232209,-0.7756743873268022,0.0,1,-1.0445305694918698,-2.4577304350673685,-0.8051210717778841,-0.030247346752864522,0.0,1.0
50,10.155258405400648,0.5658056956942983,1.0956539701416903,0.623601999534078,-0.7756743873268022,0.0,1,0.5228607981835014,0.0,1.4960019914791765,0.11153494262031914,1.0,0.0
51,10.545341438708522,1.5289276646226209,0.6347732726775545,0.623601999534078,0.5500236564680963,1.0,0,0.2989477456584484,-0.34511437867743877,-0.8051210717778841,0.5247352748470336,1.0,0.0
52,11.18543234773538,4.418293571407589,3.4000574574623696,2.267113811390246,1.8757217002629947,1.0,1,3.4337304810091904,-1.1901608012334106,-0.8051210717778841,1.592786777680387,0.0,1.0
53,10.915088464214607,-0.5578366013887449,-0.5635165407291988,-1.01990981232209,-0.7756743873268022,0.0,1,-0.8206175169668167,1.7675016777124908,-0.8051210717778841,-0.45624274866414405,0.0,1.0
54,10.836219453720318,-0.7183569295434653,0.7269494121703817,0.623601999534078,0.5500236564680963,2.0,1,0.8587303769710809,-2.0352072237893823,-0.8051210717778841,0.1931301874944801,0.0,0.0
